client,project_id,zip_package_name,file_name
BLO,251326,Modern Nigeria.zip,00Prelims.docx
BLO,251326,Modern Nigeria.zip,01_Introduction.docx
BLO,251326,Modern Nigeria.zip,02_Chapter 1 - Geography.docx
BLO,251326,Modern Nigeria.zip,03_Chapter 2 - History.docx
BLO,251326,Modern Nigeria.zip,04_Chapter 3 - Government and Politics.docx
BLO,251326,Modern Nigeria.zip,05_Chapter 4 - Economy.docx
BLO,251326,Modern Nigeria.zip,06_Chapter 5 - Religion and Thought.docx
BLO,251326,Modern Nigeria.zip,07_Chapter 6 - Social Classes and Ethnicity.docx
BLO,251326,Modern Nigeria.zip,08_Chapter 7 - Gender Marriage and Sexuality.docx
BLO,251326,Modern Nigeria.zip,09_Chapter 8 - Education.docx
BLO,251326,Modern Nigeria.zip,10_Chapter 9 - Language.docx
BLO,251326,Modern Nigeria.zip,11_Chapter 10 - Etiquette.docx
BLO,251326,Modern Nigeria.zip,12_Chapter 11 - Literature and Drama.docx
BLO,251326,Modern Nigeria.zip,13_Chapter 12 - Art and Architecture.docx
BLO,251326,Modern Nigeria.zip,14_Chapter 13 - Music and Dance.docx
BLO,251326,Modern Nigeria.zip,15_Chapter 14 - Food.docx
BLO,251326,Modern Nigeria.zip,16_Chapter 15 - Leisure and Sports.docx
BLO,251326,Modern Nigeria.zip,17_Chapter 16 - Media and Popular Culture.docx
BLO,251326,Modern Nigeria.zip,18_Appendix A - A Day in the Life.docx
BLO,251326,Modern Nigeria.zip,19_Appendix B - Glossary of Key Terms.docx
BLO,251326,Modern Nigeria.zip,20_Appendix C - Facts and Figures.docx
BLO,251326,Modern Nigeria.zip,21_Appendix D - Holidays.docx
BLO,251326,Modern Nigeria.zip,22_Selected Bibliography.docx
BLO,251334,1. MS Files.zip,001 Prelims - BA.docx
BLO,251334,1. MS Files.zip,01_Introduction.docx
BLO,251334,1. MS Files.zip,02_Chapter 1.docx
BLO,251334,1. MS Files.zip,03_Chapter 2.docx
BLO,251334,1. MS Files.zip,04_Chapter 3.docx
BLO,251334,1. MS Files.zip,05_Chapter 4.docx
BLO,251334,1. MS Files.zip,06_Chapter 5.docx
BLO,251334,1. MS Files.zip,07_Chapter 6.docx
BLO,251334,1. MS Files.zip,08_Chapter 7.docx
BLO,251334,1. MS Files.zip,09_Chapter 8.docx
BLO,251334,1. MS Files.zip,10_Chapter 9.docx
BLO,251334,1. MS Files.zip,11_Chapter 10.docx
BLO,251334,1. MS Files.zip,12_Chapter 11.docx
BLO,251334,1. MS Files.zip,13_Chapter 12.docx
BLO,251334,1. MS Files.zip,14_Chapter 13.docx
BLO,251334,1. MS Files.zip,15_Chapter 14.docx
BLO,251334,1. MS Files.zip,16_Chapter 15.docx
BLO,251334,1. MS Files.zip,17_Chapter 16.docx
BLO,251334,1. MS Files.zip,18_Conclusion.docx
BLO,251334,1. MS Files.zip,Bibliography.docx
BLO,251335,MS.zip,MS - Theatre and Australia.docx
BLO,251335,MS.zip,Prelims - Theatre and Australia.docx
BLO,251336,Early Capitalism in Colonial Missions.zip,Manuscript revised.docx
BLO,251336,Early Capitalism in Colonial Missions.zip,Early Capitalism in Colonial Missions Prelims.docx
BLO,251336,Early Capitalism in Colonial Missions.zip,Early Capitalism- Key Words.docx
BLO,251338,Castration Desire.zip,01. MS.docx
BLO,251338,Castration Desire.zip,00. Prelims.docx
BLO,251343,The Political Uses of Literature.zip,00. Prelims.docx
BLO,251343,The Political Uses of Literature.zip,01. MS.docx
BLO,251343,The Political Uses of Literature.zip,Abstracts and Keywords.docx
BLO,251344,Relic.zip,00 Prelims - Relic.docx
BLO,251344,Relic.zip,01 MS - Relic.docx
BLO,251345,The Political Uses of Literature.zip,00. Prelims.docx
BLO,251345,The Political Uses of Literature.zip,01. MS.docx
BLO,251345,The Political Uses of Literature.zip,Abstracts and Keywords.docx
BLO,251346,Bicycle.zip,00 Prelims - Bicycle.docx
BLO,251346,Bicycle.zip,01 MS - Bicycle.docx
BLO,251347,The Kiing Ground for typesetting.zip,GNM The Killing Ground - handover for Deanta.docx
BLO,251347,The Kiing Ground for typesetting.zip,GNM The Killing Ground - styled for Deanta.docx
BLO,251348,The Kiing Ground for typesetting.zip,GNM The Killing Ground - handover for Deanta.docx
BLO,251348,The Kiing Ground for typesetting.zip,GNM The Killing Ground - styled for Deanta.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Coats Abstracts & Keywords.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,00Prelims.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Revised 001 Prelude.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Revised 002 Introduction.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Revised 003 Chapter 1.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Revised 004 Chapter 2.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Revised 005 Chapter 3_.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Revised 006 Chapter 4.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Revised 007 Chapter 5.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Revised 008 Chapter 6.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Revised 009 Chapter 7.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Revised 010 Chapter 8.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Revised 011 Chapter 9.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Revised 012 Reference List.docx
BLO,251349,New Materialisms and Embodied Encounters in Education.zip,Updated Dedication - 8th June.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,02InterludeA Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,03Chap1 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,04Chap2 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,05Chap3 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,06Chap4 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,07InterludeB Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,08Chap5 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,09Chap6 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,10Chap7 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,11Chap8 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,12Chap9 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,13Chap10 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,14InterludeC Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,15Chap11 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,17Chap13 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,18Chap14 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,19InterludeD Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,20Chap15 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,21Chap16 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,22Chap17 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,23Chap18 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,24Chap19 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,25Chap20 Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,26Outro Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,Handbook Abstract.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,00Prelims.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,01Introduction.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,02InterludeA.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,03Chap1.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,04Chap2.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,05Chap3.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,06Chap4.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,07InterludeB.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,08Chap5.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,09Chap6.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,10Chap7.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,11Chap8.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,12Chap9.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,13Chap10.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,14InterludeC.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,15Chap11.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,16Chap12.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,17Chap13.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,18Chap14.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,19InterludeD.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,20Chap15.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,21Chap16.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,22Chap17.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,23Chap18.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,24Chap19.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,25Chap20.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,26Outro.docx
BLO,251350,The Bloomsbury Handbook of Hip Hop Pedagogy.zip,List of Contributors - Handbook of Hip Hop Pedagogy.docx
BLO,251355,After Elizabeth.zip,Text to production form_After Elizabeth.doc
BLO,251355,After Elizabeth.zip,After Elizabeth_WHOLE TEXT_FINAL.docx
BLO,251355,After Elizabeth.zip,Imprint page After Elizabeth.docx
BLO,251365,Oil Nationalism (1).zip,00Prelims.docx
BLO,251365,Oil Nationalism (1).zip,01 - Introduction.docx
BLO,251365,Oil Nationalism (1).zip,02 - Chapter 1 - Iran Under Occupation.docx
BLO,251365,Oil Nationalism (1).zip,"03 - Chapter 2 - Labour, Imperialism & Iran.docx"
BLO,251365,Oil Nationalism (1).zip,04 - Chapter 3 - Development and Division.docx
BLO,251365,Oil Nationalism (1).zip,05 - Chapter 4 - Welfare Imperialism in Crisis.docx
BLO,251365,Oil Nationalism (1).zip,06 - Chapter 5 - British Responses and British Failures.docx
BLO,251365,Oil Nationalism (1).zip,07 -Chapter 6 - Countdown to Midnight.docx
BLO,251365,Oil Nationalism (1).zip,08 - Conclusion - Reflecting on the End of Empire in Iran.docx
BLO,251365,Oil Nationalism (1).zip,09 - Bibliography.docx
BLO,251365,Oil Nationalism (1).zip,Oil Nationalism- Key Words.docx
BLO,251366,An International History of US Immigration.zip,abstracts and kws.docx
BLO,251366,An International History of US Immigration.zip,00Prelims.docx
BLO,251366,An International History of US Immigration.zip,0Introduction.docx
BLO,251366,An International History of US Immigration.zip,Chapter 1.docx
BLO,251366,An International History of US Immigration.zip,Chapter 10.docx
BLO,251366,An International History of US Immigration.zip,"Chapter 11, updated.docx"
BLO,251366,An International History of US Immigration.zip,Chapter 2.docx
BLO,251366,An International History of US Immigration.zip,Chapter 3.docx
BLO,251366,An International History of US Immigration.zip,Chapter 4.docx
BLO,251366,An International History of US Immigration.zip,Chapter 5.docx
BLO,251366,An International History of US Immigration.zip,Chapter 6.docx
BLO,251366,An International History of US Immigration.zip,Chapter 7.docx
BLO,251366,An International History of US Immigration.zip,Chapter 8.docx
BLO,251366,An International History of US Immigration.zip,Chapter 9.docx
BLO,251366,An International History of US Immigration.zip,Conclusion.docx
BLO,251366,An International History of US Immigration.zip,Selected Bibliography.docx
BLO,251378,Mapping the Fault Lines.zip,2. Whole MS.docx
BLO,251378,Mapping the Fault Lines.zip,1. Prelims.docx
BLO,251382,Anthropomorphism in Christian Theology.zip,000Prelims.docx
BLO,251382,Anthropomorphism in Christian Theology.zip,01FINALMS.docx
BLO,251382,Anthropomorphism in Christian Theology.zip,02Bibliography.docx
BLO,251383,Anthropomorphism in Christian Theology.zip,000Prelims.docx
BLO,251383,Anthropomorphism in Christian Theology.zip,01FINALMS.docx
BLO,251383,Anthropomorphism in Christian Theology.zip,02Bibliography.docx
BLO,251392,The Bildungsroman in a Genocidal Age.zip,Abstracts and Keywords.docx
BLO,251392,The Bildungsroman in a Genocidal Age.zip,00. Prelims.docx
BLO,251392,The Bildungsroman in a Genocidal Age.zip,01. MS.docx
BLO,251393,On Design.zip,Foreword T B On Design Bloomsbury.docx
BLO,251393,On Design.zip,0.1 Prelims.docx
BLO,251393,On Design.zip,0.2 Manuscript - On Design.docx
BLO,251394,Student Guide to Freire's 'Pedagogy of the Oppressed' 2nd Ed.zip,00Prelims.docx
BLO,251394,Student Guide to Freire's 'Pedagogy of the Oppressed' 2nd Ed.zip,01PREFACE.docx
BLO,251394,Student Guide to Freire's 'Pedagogy of the Oppressed' 2nd Ed.zip,02Foreword.docx
BLO,251394,Student Guide to Freire's 'Pedagogy of the Oppressed' 2nd Ed.zip,03ABOUT THIS BOOK.docx
BLO,251394,Student Guide to Freire's 'Pedagogy of the Oppressed' 2nd Ed.zip,05CHAPTER FIVE.docx
BLO,251394,Student Guide to Freire's 'Pedagogy of the Oppressed' 2nd Ed.zip,06BIBLIOGRAPHY.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Foreword - Kate Marlais.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Foreword - Tim Sutton.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Intro.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,CHOW Departure Lounge 21.12.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Dougal Interview Edit.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Katie Hopkins.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Lucy O Interview Edit.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Conclusion.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Ellen Kane Interview Edit.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Lim - Smell of Rebellion 21.12.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Jozey Grae_ Lift Chapter Final Draft (Sept) (1).docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,PP Interview - EDIT.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Kelsey Blair Bend it Like Beckham Jan 2023.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Preeya Kalidas - EDIT.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Richard and Rachel Interview Edit.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Whitfield Flowers for Mrs Harris 21.12.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Copy of Grinning Man with Biblio footnotes- Ellen Armstrong Revisions December.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Toby Oli� Interview Edit.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Jamie.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Rob Hastie - interview EDIT.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Josh Bird - EDIT.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,NEFF Six Draft 3.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,MLRF Redraf 2 Judith Drake.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Noisemaker Interview Edit .docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Abstracts Bios etc.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,List of Contributors.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,List of Illustrations.docx
BLO,251395,Contemporary British Musicals_ Out of the Darkness.zip,Prelims - Contemporary British Musicals.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,Foreword - Kate Marlais.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,Foreword - Tim Sutton.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,Intro.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,CHOW Departure Lounge 21.12.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,Dougal Interview Edit.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,Katie Hopkins.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,Lucy O Interview Edit.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,Conclusion.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,Ellen Kane Interview Edit.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,Lim - Smell of Rebellion 21.12.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,Jozey Grae_ Lift Chapter Final Draft (Sept) (1).docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,PP Interview - EDIT.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,Kelsey Blair Bend it Like Beckham Jan 2023.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,Preeya Kalidas - EDIT.docx
BLO,251396,Contemporary British Musicals_ Out of the Darkness.zip,Richard and Rachel Interview Edit.docx
